CAD Event Number,Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat,Blurred_Longitude,Blurred_Latitude
2015000124645,ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,04/16/2015 11:23:01 PM,04/16/2015 11:23:01 PM,EAST,CHARLIE,C2,-122.28749063,47.62937069
2010000273072,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"OBS - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",--TRAFFIC - MV COLLISION INVESTIGATION,08/06/2010 03:12:09 PM,08/06/2010 03:29:51 PM,EAST,CHARLIE,C2,-122.28749063,47.62937069
2017000257800,OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,07/15/2017 03:59:26 PM,07/15/2017 03:59:26 PM,EAST,CHARLIE,C2,-122.28749063,47.62937069
2013000019585,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,01/17/2013 05:16:09 PM,01/17/2013 05:16:09 PM,EAST,CHARLIE,C2,-122.28749063,47.62937069
2010000064295,OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,02/25/2010 10:04:22 PM,02/25/2010 10:04:22 PM,EAST,CHARLIE,C2,-122.28749063,47.62937069
2016000379099,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),10/19/2016 07:20:14 PM,10/19/2016 08:15:53 PM,EAST,CHARLIE,C3,-122.28714693,47.62252025
2013000319239,ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,09/03/2013 01:06:52 AM,09/03/2013 01:06:52 AM,EAST,CHARLIE,C3,-122.28714693,47.62252025
2011000388082,PROBLEM SOLVING PROJECT,ONVIEW,4,REQUEST TO WATCH,--PREMISE CHECKS - CRIME PREVENTION,12/02/2011 12:15:25 PM,12/02/2011 12:15:25 PM,EAST,CHARLIE,C3,-122.28752649,47.62616674
2011000006701,OTHER REPORT MADE,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,01/06/2011 12:38:45 PM,01/06/2011 12:38:45 PM,EAST,CHARLIE,C3,-122.28704175,47.62340798
2012000426493,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - REQUEST TO WATCH,12/14/2012 01:04:47 PM,12/14/2012 01:04:47 PM,EAST,CHARLIE,C3,-122.28747338,47.62293706
2017000051354,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),02/11/2017 01:31:18 PM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2018000047600,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),02/07/2018 08:06:21 PM,02/07/2018 09:00:18 PM,EAST,CHARLIE,C3,-122.28714693,47.62252025
2012000036357,ASSISTANCE RENDERED,ONVIEW,3,FOLLOW UP,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,02/06/2012 08:53:43 AM,02/06/2012 08:53:43 AM,EAST,CHARLIE,C3,-122.28747338,47.62293706
2016000444304,ASSISTANCE RENDERED,ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","--SUSPICIOUS CIRCUM. - BUILDING (OPEN DOOR, ETC)",12/10/2016 11:01:05 PM,12/10/2016 11:01:06 PM,EAST,CHARLIE,C3,-122.28754255,47.62493468
2015000395517,ASSISTANCE RENDERED,911,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - CAR PROWL,11/12/2015 10:53:32 AM,11/12/2015 02:30:59 PM,EAST,CHARLIE,C3,-122.28754255,47.62493468
2014000213696,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),07/02/2014 07:19:31 PM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2017000435953,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",2,SERVICE - WELFARE CHECK,--DISTURBANCE - OTHER,11/25/2017 08:38:09 PM,11/25/2017 09:39:00 PM,EAST,CHARLIE,C3,-122.28714693,47.62252025
2013000053504,ASSISTANCE RENDERED,ONVIEW,4,REQUEST TO WATCH,--PREMISE CHECKS - REQUEST TO WATCH,02/15/2013 04:33:08 PM,02/15/2013 04:33:08 PM,EAST,CHARLIE,C3,-122.28715025,47.62241979
2013000441315,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - FRAUD,"--FRAUD - FRAUD, INCLUDING BUNCO",12/09/2013 12:42:52 PM,12/09/2013 03:51:45 PM,EAST,CHARLIE,C3,-122.28796415,47.62072372
2019000048049,ASSISTANCE RENDERED,911,2,TRAFFIC - BLOCKING ROADWAY,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),02/06/2019 06:26:38 PM,02/06/2019 08:17:40 PM,EAST,CHARLIE,C3,-122.28715025,47.62241979
2014000016358,REPORT WRITTEN (NO ARREST),ONVIEW,3,FRAUD,"--FRAUD - FRAUD, INCLUDING BUNCO",01/15/2014 08:55:11 PM,01/15/2014 08:55:11 PM,EAST,CHARLIE,C3,-122.28747338,47.62293706
2018000412417,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"TREES DOWN, OBSTRUCTING PUBLIC PROP (NO HAZ)",--HAZARDS - HAZARDS,11/03/2018 03:32:24 PM,11/03/2018 04:14:07 PM,EAST,CHARLIE,C3,-122.28704175,47.62340798
2018000174185,NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),05/15/2018 07:28:28 PM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2012000112534,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--TRAFFIC - TRAFFIC CONTROL (SPECIAL EVENTS),04/13/2012 02:35:55 PM,04/13/2012 02:35:55 PM,EAST,CHARLIE,C3,-122.28747338,47.62293706
2016000364958,NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),10/08/2016 10:38:21 AM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2017000166072,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),05/11/2017 07:26:56 PM,05/11/2017 08:39:30 PM,EAST,CHARLIE,C3,-122.28714693,47.62252025
2014000196474,FALSE COMPLAINT/UNFOUNDED,"TELEPHONE OTHER, NOT 911",3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE","--ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",06/19/2014 08:33:27 PM,06/19/2014 08:49:23 PM,EAST,CHARLIE,C3,-122.28796415,47.62072372
2019000131000,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,04/13/2019 03:18:32 PM,04/13/2019 03:18:32 PM,EAST,CHARLIE,C3,-122.28750890,47.62737295
2019000254938,ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,07/12/2019 10:46:41 AM,07/12/2019 12:11:10 PM,EAST,CHARLIE,C3,-122.28796415,47.62072372
2014000055887,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,02/21/2014 08:16:49 AM,02/21/2014 09:25:21 AM,EAST,CHARLIE,C3,-122.28752649,47.62616674
2012000037780,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,02/07/2012 01:54:03 PM,02/07/2012 01:54:03 PM,EAST,CHARLIE,C3,-122.28747338,47.62293706
2013000141262,RESPONDING UNIT(S) CANCELLED BY RADIO,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,04/27/2013 05:23:15 PM,04/27/2013 05:23:15 PM,EAST,CHARLIE,C3,-122.28747338,47.62293706
2015000446957,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - BICYCLE,12/27/2015 03:03:40 PM,12/27/2015 04:08:12 PM,EAST,CHARLIE,C3,-122.28715025,47.62241979
2016000147372,NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),04/28/2016 07:09:39 PM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2020000256228,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",2,OBS - PROWLER,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,09/02/2020 12:45:48 AM,09/02/2020 02:01:52 AM,EAST,CHARLIE,C3,-122.28754255,47.62493468
2018000008911,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,01/08/2018 09:42:34 AM,01/08/2018 12:09:12 PM,EAST,CHARLIE,C3,-122.28715025,47.62241979
2010000379883,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"TREES DOWN, OBSTRUCTING PUBLIC PROP (NO HAZ)",--HAZARDS - HAZARDS,10/30/2010 11:40:12 PM,,EAST,CHARLIE,C3,-122.28747338,47.62293706
2019000455291,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - CAR PROWL,12/09/2019 11:15:00 AM,,EAST,CHARLIE,C3,-122.28715025,47.62241979
2016000113353,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,BURG - RESD (INCL UNOCC STRUCTURES ON PROP),--THEFT - CAR PROWL,04/02/2016 08:24:42 AM,04/02/2016 08:28:06 AM,EAST,CHARLIE,C3,-122.28754255,47.62493468
2019000336804,REPORT WRITTEN (NO ARREST),911,1,BURG - OCCUPIED RESD,"--BURGLARY - RESIDENTIAL, UNOCCUPIED",09/09/2019 03:06:13 AM,09/09/2019 03:12:17 AM,EAST,CHARLIE,C3,-122.28796415,47.62072372
2019000371116,NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),10/04/2019 07:50:09 PM,,EAST,CHARLIE,C3,-122.28715025,47.62241979
2018000091452,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,BIAS,"--ASSAULTS, OTHER",03/14/2018 09:22:08 AM,03/14/2018 09:37:26 AM,EAST,CHARLIE,C3,-122.28744461,47.62014024
2019000059101,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),02/16/2019 02:11:11 PM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2018000007298,ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE","--ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",01/06/2018 08:06:28 PM,01/06/2018 08:14:29 PM,EAST,CHARLIE,C3,-122.28715025,47.62241979
2019000117017,NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,04/02/2019 05:46:20 PM,04/02/2019 05:46:20 PM,EAST,CHARLIE,C3,-122.28715025,47.62241979
2021000147632,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),06/14/2021 04:11:12 PM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2018000101488,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),03/21/2018 08:39:34 PM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2019000169046,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),05/11/2019 11:01:51 AM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2010000166783,ASSISTANCE RENDERED,ONVIEW,4,REQUEST TO WATCH,--PREMISE CHECKS - CRIME PREVENTION,05/21/2010 07:34:35 AM,05/21/2010 07:34:35 AM,EAST,CHARLIE,C3,-122.28747338,47.62293706
2020000025340,ASSISTANCE RENDERED,911,2,SERVICE - WELFARE CHECK,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,01/21/2020 10:13:39 PM,01/21/2020 11:11:45 PM,EAST,CHARLIE,C3,-122.28752649,47.62616674
2016000296666,REPORT WRITTEN (NO ARREST),911,3,BURG - RESD (INCL UNOCC STRUCTURES ON PROP),"--BURGLARY - RESIDENTIAL, UNOCCUPIED",08/16/2016 05:54:59 PM,08/16/2016 07:37:46 PM,EAST,CHARLIE,C3,-122.28744461,47.62014024
2012000129009,REPORT WRITTEN (NO ARREST),911,6,OBS - SECONDARY - THEFT,--THEFT - ALL OTHER,04/27/2012 08:19:27 PM,04/27/2012 09:06:18 PM,EAST,CHARLIE,C3,-122.28747338,47.62293706
2017000065501,ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,02/22/2017 03:53:08 PM,02/22/2017 05:31:26 PM,EAST,CHARLIE,C3,-122.28754255,47.62493468
2012000398328,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,ANIMAL - DANGEROUS,"--ANIMAL COMPLAINT - INJURED,DEAD,DANGEROUS",11/20/2012 07:13:47 PM,11/20/2012 07:32:57 PM,EAST,CHARLIE,C3,-122.28798402,47.62014222
2011000403324,ASSISTANCE RENDERED,911,1,OBS - PROWLER - IP/JO,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,12/16/2011 10:43:34 PM,12/16/2011 10:58:18 PM,EAST,CHARLIE,C3,-122.28747338,47.62293706
2014000019098,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,01/18/2014 06:21:19 AM,01/18/2014 06:27:36 AM,EAST,CHARLIE,C3,-122.28754255,47.62493468
2019000215973,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),06/13/2019 07:40:29 PM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2017000262974,ORAL WARNING GIVEN,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),07/19/2017 09:27:50 AM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2014000248705,REPORT WRITTEN (NO ARREST),911,1,OBS - MVC - WITH INJURIES (INCLUDES HIT AND RUN),--TRAFFIC - MV COLLISION INVESTIGATION,07/29/2014 12:21:05 PM,07/29/2014 12:24:25 PM,EAST,CHARLIE,C3,-122.28798402,47.62014222
2017000210108,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,06/11/2017 05:23:26 PM,06/11/2017 05:23:26 PM,EAST,CHARLIE,C3,-122.28754254,47.62493468
2018000075235,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),03/01/2018 08:16:45 PM,,EAST,CHARLIE,C3,-122.28715025,47.62241979
2017000353924,OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,09/22/2017 10:10:36 PM,09/22/2017 10:10:36 PM,EAST,CHARLIE,C3,-122.28704175,47.62340798
2017000045268,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",4,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),02/06/2017 06:35:23 PM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2019000481592,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,12/30/2019 05:01:44 PM,12/30/2019 08:10:33 PM,EAST,CHARLIE,C3,-122.28754255,47.62493468
2013000183000,ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),05/30/2013 03:01:49 AM,05/30/2013 03:11:48 AM,EAST,CHARLIE,C3,-122.28752649,47.62616674
2018000057848,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),02/15/2018 07:32:49 PM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2010000047408,REPORT WRITTEN (NO ARREST),ONVIEW,3,AUTO RECOVERY,--AUTOMOBILES - RECOVERY (THEFT),02/10/2010 08:08:38 PM,02/10/2010 08:08:38 PM,EAST,CHARLIE,C3,-122.28715025,47.62241979
2013000294626,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,08/15/2013 10:40:33 PM,08/15/2013 11:59:41 PM,EAST,CHARLIE,C3,-122.28796415,47.62072372
2015000440101,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),PARKING VIOLATION (EXCEPT ABANDONED CAR),12/20/2015 01:35:36 PM,12/20/2015 01:58:44 PM,EAST,CHARLIE,C3,-122.28714693,47.62252025
2019000441042,NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,11/27/2019 12:18:53 PM,11/27/2019 12:18:53 PM,EAST,CHARLIE,C3,-122.28715025,47.62241979
2020000063509,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,02/19/2020 09:54:24 PM,02/20/2020 04:04:09 AM,EAST,CHARLIE,C3,-122.28796415,47.62072372
2013000115751,RESPONDING UNIT(S) CANCELLED BY RADIO,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,04/06/2013 02:14:35 PM,,EAST,CHARLIE,C3,-122.28752649,47.62616674
2016000365153,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),10/08/2016 01:46:48 PM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2016000165533,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE","--ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",05/12/2016 11:12:32 AM,,EAST,CHARLIE,C3,-122.28754255,47.62493468
2017000399016,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,10/27/2017 12:55:38 PM,10/27/2017 01:18:57 PM,EAST,CHARLIE,C3,-122.28754255,47.62493468
2013000393453,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,10/30/2013 01:31:47 AM,10/30/2013 01:40:53 AM,EAST,CHARLIE,C3,-122.28796415,47.62072372
2017000459035,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,12/13/2017 05:22:27 PM,12/13/2017 05:22:27 PM,EAST,CHARLIE,C3,-122.28750890,47.62737295
2017000452773,ASSISTANCE RENDERED,911,2,"WIRES DOWN (PHONE, ELECTRICAL,ETC.)",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),12/08/2017 03:46:48 PM,12/08/2017 04:41:59 PM,EAST,CHARLIE,C3,-122.28704175,47.62340798
2018000264679,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,07/18/2018 01:34:52 PM,07/18/2018 01:34:52 PM,EAST,CHARLIE,C3,-122.28752649,47.62616675
2018000149118,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),04/27/2018 08:23:55 PM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
2023000035421,REPORT WRITTEN (NO ARREST),911,3,AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY,--AUTOMOBILES - AUTO THEFT,02/06/2023 05:11:41 PM,,EAST,CHARLIE,C3,-122.28752649,47.62616674
2022000172018,PRIORITY CALL HANDLING,"TELEPHONE OTHER, NOT 911",4,FIREWORKS (NO HAZARD),--MISCHIEF OR NUISANCE - GENERAL,07/05/2022 01:25:53 AM,07/05/2022 01:28:14 AM,EAST,CHARLIE,C3,-122.28744461,47.62014024
2017000245333,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),07/06/2017 07:26:57 PM,,EAST,CHARLIE,C3,-122.28714693,47.62252025
