"CAD.Event.Number","Event.Clearance.Description","Call.Type","Priority","Initial.Call.Type","Final.Call.Type","Incident.Date","Blurred_Longitude","Blurred_Latitude","broad_category"
2023000302671,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","TELEPHONE OTHER, NOT 911",3,"THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS)","THEFT - ALL OTHER",2023-10-18,-122.28198512,47.61206168,"theft"
2023000282282,"NO POLICE ACTION POSSIBLE OR NECESSARY","911",2,"THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS)","THEFT - ALL OTHER",2023-09-29,-122.28224624,47.61177635,"theft"
2023000216283,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","AUTOMOBILES - AUTO THEFT & RECOVERY",2023-07-30,-122.28607748,47.60979756,"theft"
2023000192721,"NO POLICE ACTION POSSIBLE OR NECESSARY","TELEPHONE OTHER, NOT 911",2,"LIQUOR VIOLATIONS - MINOR","DISTURBANCE - OTHER",2023-07-08,-122.28603116,47.6121097,"disturbance"
2023000191492,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"BURN - RECKLESS BURNING","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-07-07,-122.28715964,47.61099714,"disturbance"
2023000188031,"ASSISTANCE RENDERED","911",4,"FIREWORKS (NO HAZARD)","DISTURBANCE - OTHER",2023-07-04,-122.28631637,47.61037728,"disturbance"
2023000186280,"ASSISTANCE RENDERED","911",2,"DISTURBANCE","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-07-03,-122.28198512,47.61206168,"disturbance"
2023000175798,"ASSISTANCE RENDERED","911",3,"OBS - NOISE - DISTURBANCE (PARTY, ETC)","DISTURBANCE - OTHER",2023-06-23,-122.28715964,47.61099714,"disturbance"
2023000160673,"REPORT WRITTEN (NO ARREST)","911",5,"TRU - THEFT","THEFT - ALL OTHER",2023-06-09,-122.28715964,47.61099714,"theft"
2023000160004,"REPORT WRITTEN (NO ARREST)","ONVIEW",3,"AUTO - THEFT/LOSS OF PLATES","AUTOMOBILES - AUTO THEFT & RECOVERY",2023-06-09,-122.28712634,47.6122376,"theft"
2023000158565,"REPORT WRITTEN (NO ARREST)","911",1,"ASLT - CRITICAL (NO SHOOTINGS)","ASSAULTS, OTHER",2023-06-07,-122.28198512,47.61206168,"violence"
2023000142926,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",5,"TRU - THEFT","THEFT - BICYCLE",2023-05-24,-122.28410154,47.61205754,"theft"
2023000133546,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"DISTURBANCE","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-05-16,-122.28224625,47.61177635,"disturbance"
2023000129794,"REPORT WRITTEN (NO ARREST)","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-05-12,-122.28471407,47.60915774,"suspicious"
2023000115687,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","AUTOMOBILES - AUTO THEFT",2023-04-29,-122.28607748,47.60979756,"theft"
2023000095527,"REPORT WRITTEN (NO ARREST)","911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","THEFT - ALL OTHER",2023-04-09,-122.28607748,47.60979756,"theft"
2023000040706,"ASSISTANCE RENDERED","911",2,"OBS - PROWLER","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-02-11,-122.28302061,47.6119038,"suspicious"
2022000312526,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-11-21,-122.28411376,47.61150482,"suspicious"
2022000309895,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",2,"DISTURBANCE","ASSIST OTHER AGENCY - COUNTY AGENCY",2022-11-18,-122.28198512,47.61206168,"disturbance"
2022000284104,"REPORT WRITTEN (NO ARREST)","911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","AUTOMOBILES - AUTO THEFT",2022-10-22,-122.28607748,47.60979756,"theft"
2022000275927,"ASSISTANCE RENDERED","911",2,"TRAFFIC - BLOCKING ROADWAY","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-10-14,-122.28198512,47.61206168,"traffic"
2022000273820,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","AUTOMOBILES - AUTO THEFT",2022-10-12,-122.28715965,47.61099714,"theft"
2022000269323,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",5,"TRU - THREATS","ASSAULTS - HARASSMENT, THREATS",2022-10-07,-122.28719052,47.60980993,"disturbance"
2022000260495,"NO POLICE ACTION POSSIBLE OR NECESSARY","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-09-29,-122.28198512,47.61206168,"suspicious"
2022000256528,"REPORT WRITTEN (NO ARREST)","911",2,"THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS)","THEFT - CAR PROWL",2022-09-25,-122.28302061,47.6119038,"theft"
2022000255333,"ASSISTANCE RENDERED","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-09-24,-122.28715965,47.61099714,"suspicious"
2022000255291,"ASSISTANCE RENDERED","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-09-23,-122.28715965,47.61099714,"suspicious"
2022000252380,"PHYSICAL ARREST MADE","911",2,"DISTURBANCE","ASSAULTS - HARASSMENT, THREATS",2022-09-21,-122.28198512,47.61206168,"disturbance"
2022000231680,"REPORT WRITTEN (NO ARREST)","911",3,"AUTO - THEFT/LOSS OF PLATES","AUTOMOBILES - LICENSE PLATE(S) THEFT OR LOSS",2022-08-31,-122.28712634,47.6122376,"theft"
2022000218318,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-08-18,-122.28198512,47.61206168,"suspicious"
2022000211807,"NO POLICE ACTION POSSIBLE OR NECESSARY","TELEPHONE OTHER, NOT 911",3,"OBS - NOISE - DISTURBANCE (PARTY, ETC)","DISTURBANCE - FIGHT",2022-08-11,-122.28715965,47.61099714,"disturbance"
2022000207295,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","TELEPHONE OTHER, NOT 911",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2022-08-07,-122.28198512,47.61206168,"traffic"
2022000205837,"PHYSICAL ARREST MADE","911",2,"THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING)","ASSAULTS - HARASSMENT, THREATS",2022-08-06,-122.28224625,47.61177635,"disturbance"
2022000195225,"REPORT WRITTEN (NO ARREST)","911",2,"LEWD -  (EXPOSING, FLASHING)","CRISIS COMPLAINT - GENERAL",2022-07-27,-122.28198512,47.61206168,"lewd"
2022000166605,"REPORT WRITTEN (NO ARREST)","911",2,"PROPERTY - DAMAGE","PROPERTY DEST (DAMG) - GRAFFITI (INCLUDES GANG)",2022-06-29,-122.28224624,47.61177635,"prop.dmg"
2022000102904,"ORAL WARNING GIVEN","ONVIEW",7,"SUSPICIOUS STOP - OFFICER INITIATED ONVIEW","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-04-25,-122.28224624,47.61177635,"suspicious"
2022000087373,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",2,"DISTURBANCE","MISCHIEF OR NUISANCE - GENERAL",2022-04-08,-122.28198512,47.61206168,"disturbance"
2022000030171,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"NUISANCE","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-02-04,-122.28224625,47.61177635,"disturbance"
2021000328566,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","AUTOMOBILES - AUTO THEFT",2021-12-13,-122.28603117,47.61210969,"theft"
2021000290185,"ASSISTANCE RENDERED","911",2,"OBS - FIGHT - VERBAL/ORAL (NO WEAPONS)","DISTURBANCE - OTHER",2021-11-01,-122.28501219,47.61036516,"disturbance"
2021000275410,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",5,"TRU - SUSPICIOUS CIRCUMSTANCES","PROPERTY - DAMAGE",2021-10-17,-122.28715965,47.61099714,"suspicious"
2021000254839,"REPORT WRITTEN (NO ARREST)","911",2,"THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS)","THEFT - CAR PROWL",2021-09-27,-122.28712634,47.6122376,"theft"
2021000200367,"REPORT WRITTEN (NO ARREST)","911",2,"THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS)","THEFT - ALL OTHER",2021-08-04,-122.28484797,47.61100209,"theft"
2021000187150,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","TELEPHONE OTHER, NOT 911",2,"TRESPASS","PROWLER - TRESPASS",2021-07-22,-122.28224625,47.61177635,"suspicious"
2021000180874,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",2,"DISTURBANCE","DISTURBANCE - OTHER",2021-07-16,-122.28198512,47.61206168,"disturbance"
2021000127137,"CITATION ISSUED (CRIMINAL OR NON-CRIMINAL)","ONVIEW",2,"TRAFFIC - BLOCKING ROADWAY","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2021-05-24,-122.28411376,47.61150482,"traffic"
2021000109212,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",1,"OBS - PROWLER - IP/JO","PROWLER - TRESPASS",2021-05-05,-122.28224625,47.61177635,"disturbance"
2021000109203,"ASSISTANCE RENDERED","911",1,"OBS - PROWLER - IP/JO","PROWLER - GENERAL",2021-05-05,-122.28224625,47.61177635,"disturbance"
2021000065383,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",5,"TRU - THREATS","ASSAULTS - HARASSMENT, THREATS",2021-03-17,-122.28605121,47.61068396,"disturbance"
2021000045820,"ASSISTANCE RENDERED","911",2,"PERSON IN BEHAVIORAL/EMOTIONAL CRISIS","ASSIST OTHER AGENCY - COUNTY AGENCY",2021-02-23,-122.28198512,47.61206168,"disturbance"
2021000044874,"NO POLICE ACTION POSSIBLE OR NECESSARY","TELEPHONE OTHER, NOT 911",3,"OBS - NOISE - DISTURBANCE (PARTY, ETC)","DISTURBANCE - NOISE",2021-02-22,-122.28715965,47.61099714,"disturbance"
2021000021412,"NO POLICE ACTION POSSIBLE OR NECESSARY","TELEPHONE OTHER, NOT 911",3,"NUISANCE","MISCHIEF OR NUISANCE - GENERAL",2021-01-26,-122.28198512,47.61206168,"disturbance"
2020000322684,"DUPLICATED OR CANCELLED BY RADIO","TELEPHONE OTHER, NOT 911",1,"DETOX - PICKUP (FIRE / POLICE STANDING BY)","DETOX - PICKUP (FIRE / POLICE STANDING BY)",2020-11-18,-122.28198512,47.61206168,"drug"
2020000322093,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"AUTO - THEFT/LOSS OF PLATES","THEFT - ALL OTHER",2020-11-17,-122.28410155,47.61205754,"theft"
2020000282006,"ASSISTANCE RENDERED","911",2,"FIGHT - PHYSICAL (NO WEAPONS)","DISTURBANCE - OTHER",2020-10-01,-122.28224625,47.61177635,"violence"
2020000272920,"ASSISTANCE RENDERED","911",2,"THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS)","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2020-09-21,-122.28198512,47.61206168,"theft"
2020000237850,"REPORT WRITTEN (NO ARREST)","911",1,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)","DISTURBANCE - OTHER",2020-08-12,-122.28198512,47.61206168,"violence"
2020000228470,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",1,"SHOTS HEARD - IN PROGRESS","DISTURBANCE - OTHER",2020-08-01,-122.28198512,47.61206168,"violence"
2020000208416,"ASSISTANCE RENDERED","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","ASSIST PUBLIC - OTHER (NON-SPECIFIED)",2020-07-08,-122.28350391,47.61149871,"suspicious"
2020000188858,"REPORT WRITTEN (NO ARREST)","911",1,"OBS - PROWLER - IP/JO","DISTURBANCE - OTHER",2020-06-16,-122.28715965,47.61099714,"disturbance"
2020000179615,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",5,"TRU - THEFT","THEFT - ALL OTHER",2020-06-02,-122.28603117,47.61210969,"theft"
2020000152920,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",1,"SHOTS HEARD - IN PROGRESS","DISTURBANCE - OTHER",2020-05-08,-122.28410155,47.61205754,"violence"
2020000133993,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",2,"DISTURBANCE","ASSIST OTHER AGENCY - COUNTY AGENCY",2020-04-22,-122.28198512,47.61206168,"disturbance"
2020000111505,"REPORT WRITTEN (NO ARREST)","911",2,"ASLT - WITH OR W/O WPNS (NO SHOOTINGS)","ASSAULTS, OTHER",2020-04-02,-122.28605121,47.61068396,"violence"
2020000058381,"NO POLICE ACTION POSSIBLE OR NECESSARY","911",3,"DISTURBANCE","DISTURBANCE - NOISE",2020-02-15,-122.28715965,47.61099714,"disturbance"
2019000375930,"ASSISTANCE RENDERED","911",2,"DISTURBANCE","DISTURBANCE - OTHER",2019-10-08,-122.28198512,47.61206168,"disturbance"
2019000372770,"ASSISTANCE RENDERED","911",1,"OBS - FIGHT - IP - PHYSICAL (NO WEAPONS)","DISTURBANCE - OTHER",2019-10-06,-122.28198512,47.61206168,"violence"
2019000361355,"FOLLOW-UP REPORT MADE","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","ROBBERY - STRONG ARM",2019-09-27,-122.28224625,47.61177635,"suspicious"
2019000347208,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","PROWLER - GENERAL",2019-09-16,-122.28410155,47.61205754,"suspicious"
2019000338214,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",1,"DISTURBANCE","ASSIST OTHER AGENCY - COUNTY AGENCY",2019-09-10,-122.28198512,47.61206168,"disturbance"
2019000301976,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",3,"NUISANCE","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2019-08-14,-122.28410155,47.61205754,"disturbance"
2019000291297,"INCIDENT LOCATED, PUBLIC ORDER RESTORED","TELEPHONE OTHER, NOT 911",3,"DISTURBANCE","DISTURBANCE - NOISE",2019-08-06,-122.28302061,47.6119038,"disturbance"
2019000277224,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","DISTURBANCE - NOISE",2019-07-28,-122.28712634,47.6122376,"suspicious"
2019000258119,"ORAL WARNING GIVEN","ONVIEW",7,"SUSPICIOUS STOP - OFFICER INITIATED ONVIEW","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT",2019-07-14,-122.28198512,47.61206168,"suspicious"
2019000164088,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","TELEPHONE OTHER, NOT 911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2019-05-07,-122.28198512,47.61206168,"suspicious"
2019000164053,"ASSISTANCE RENDERED","911",1,"ASLT - CRITICAL (NO SHOOTINGS)","DISTURBANCE - OTHER",2019-05-07,-122.28198512,47.61206168,"violence"
2019000144538,"ASSISTANCE RENDERED","911",1,"SHOTS HEARD - IN PROGRESS","DISTURBANCE - OTHER",2019-04-23,-122.28302061,47.6119038,"violence"
2019000114536,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",1,"DISTURBANCE","ASSIST OTHER AGENCY - COUNTY AGENCY",2019-03-31,-122.28198512,47.61206168,"disturbance"
2019000089941,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2019-03-13,-122.28410155,47.61205754,"suspicious"
2019000060151,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS)","THEFT - CAR PROWL",2019-02-17,-122.28607748,47.60979756,"theft"
2019000010602,"ASSISTANCE RENDERED","911",2,"HAZ - POTENTIAL THRT TO PHYS SAFETY","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2019-01-08,-122.28198512,47.61206168,"suspicious"
2018000462522,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"HARAS - NO BIAS OR THREATS","ASSAULTS - HARASSMENT, THREATS",2018-12-12,-122.28410155,47.61205754,"disturbance"
2018000456844,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"HARAS - NO BIAS OR THREATS","DISTURBANCE - OTHER",2018-12-07,-122.28410155,47.61205754,"disturbance"
2018000432723,"REPORT WRITTEN (NO ARREST)","911",2,"ASLT - WITH OR W/O WPNS (NO SHOOTINGS)","ASSAULTS, OTHER",2018-11-18,-122.28410155,47.61205754,"violence"
2018000432440,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"HARAS - NO BIAS OR THREATS","ASSAULTS - HARASSMENT, THREATS",2018-11-18,-122.28410155,47.61205754,"disturbance"
2018000342595,"REPORT WRITTEN (NO ARREST)","911",2,"DISTURBANCE","ASSAULTS, OTHER",2018-09-13,-122.28410155,47.61205754,"disturbance"
2018000286013,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","AUTOMOBILES - AUTO THEFT",2018-08-02,-122.28712634,47.6122376,"theft"
2018000282194,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",3,"DISTURBANCE","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2018-07-30,-122.28468983,47.60975947,"disturbance"
2018000282185,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"DISTURBANCE","DISTURBANCE - OTHER",2018-07-30,-122.28302061,47.6119038,"disturbance"
2018000280429,"ASSISTANCE RENDERED","911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2018-07-29,-122.28198512,47.61206168,"suspicious"
2018000244116,"REPORT WRITTEN (NO ARREST)","911",3,"DISTURBANCE","CRISIS COMPLAINT - GENERAL",2018-07-04,-122.28714376,47.61160717,"disturbance"
2018000230894,"ASSISTANCE RENDERED","911",2,"THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING)","DISTURBANCE - OTHER",2018-06-24,-122.28198512,47.61206168,"disturbance"
2018000216587,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",1,"DISTURBANCE","MISCHIEF OR NUISANCE - GENERAL",2018-06-14,-122.28198512,47.61206168,"disturbance"
2018000190327,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","TELEPHONE OTHER, NOT 911",3,"OBS - NOISE - DISTURBANCE (PARTY, ETC)","DISTURBANCE - NOISE",2018-05-26,-122.28715965,47.61099714,"disturbance"
2018000182580,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2018-05-21,-122.28712634,47.6122376,"suspicious"
2018000143029,"ASSISTANCE RENDERED","ONVIEW",2,"TRAFFIC - BLOCKING ROADWAY","TRAFFIC - BLOCKING TRAFFIC",2018-04-23,-122.28198512,47.61206168,"traffic"
2018000138996,"ASSISTANCE RENDERED","ONVIEW",3,"PERSON IN BEHAVIORAL/EMOTIONAL CRISIS","CRISIS COMPLAINT - GENERAL",2018-04-20,-122.28198512,47.61206168,"disturbance"
2018000129824,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2018-04-13,-122.28717553,47.61038711,"suspicious"
2018000094998,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","TELEPHONE OTHER, NOT 911",1,"ASLT - CRITICAL (NO SHOOTINGS)","DISTURBANCE - OTHER",2018-03-16,-122.28198512,47.61206168,"violence"
2018000089588,"REPORT WRITTEN (NO ARREST)","ONVIEW",3,"PROPERTY - DAMAGE","PROPERTY DEST (DAMG)",2018-03-12,-122.28411376,47.61150482,"prop.dmg"
2018000089361,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"HARAS - NO BIAS OR THREATS","PROWLER - TRESPASS",2018-03-12,-122.28411376,47.61150482,"disturbance"
2018000077516,"REPORT WRITTEN (NO ARREST)","ONVIEW",3,"DISTURBANCE","MISCHIEF OR NUISANCE - GENERAL",2018-03-03,-122.28410153,47.61205754,"disturbance"
2018000077447,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"HARAS - NO BIAS OR THREATS","DISTURBANCE - OTHER",2018-03-03,-122.28410155,47.61205754,"disturbance"
2018000065487,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",1,"OBS - PROWLER - IP/JO","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2018-02-22,-122.28410155,47.61205754,"disturbance"
2018000050169,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",2018-02-09,-122.28609484,47.60922076,"suspicious"
2018000040108,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","TELEPHONE OTHER, NOT 911",3,"NUISANCE","PROWLER - TRESPASS",2018-02-02,-122.28466559,47.61036119,"disturbance"
2018000034867,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"NUISANCE","MISCHIEF OR NUISANCE - GENERAL",2018-01-29,-122.28484797,47.61100209,"disturbance"
2018000018609,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","TELEPHONE OTHER, NOT 911",2,"OBS - PROWLER","PROWLER - TRESPASS",2018-01-16,-122.28224625,47.61177635,"suspicious"
2017000479574,"REPORT WRITTEN (NO ARREST)","911",1,"THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING)","DISTURBANCE - OTHER",2017-12-31,-122.28198512,47.61206168,"disturbance"
2017000468827,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",1,"DISTURBANCE","INTOX & LIQ VIOLS - INTOXICATED PERSON",2017-12-21,-122.28198512,47.61206168,"disturbance"
2017000448594,"ASSISTANCE RENDERED","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2017-12-05,-122.28224625,47.61177635,"suspicious"
2017000419406,"PROBLEM SOLVING PROJECT","TELEPHONE OTHER, NOT 911",2,"DISTURBANCE","PROWLER - TRESPASS",2017-11-12,-122.28198512,47.61206168,"disturbance"
2017000371276,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",4,"NOISE - ANIMAL (INCLUDES BARKING DOGS)","DISTURBANCE - NOISE",2017-10-06,-122.28559782,47.6107281,"disturbance"
2017000297238,"ASSISTANCE RENDERED","911",3,"DISTURBANCE","DISTURBANCE - NOISE",2017-08-11,-122.28198512,47.61206168,"disturbance"
2017000297178,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"DISTURBANCE","DISTURBANCE - NOISE",2017-08-11,-122.28198512,47.61206168,"disturbance"
2017000296659,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",3,"DISTURBANCE","DISTURBANCE - OTHER",2017-08-11,-122.28198512,47.61206168,"disturbance"
2017000293786,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",1,"ROBBERY - CRITICAL (INCLUDES STRONG ARM)","ROBBERY - STRONG ARM",2017-08-09,-122.28198512,47.61206168,"theft"
