"CAD.Event.Number","Event.Clearance.Description","Call.Type","Priority","Initial.Call.Type","Final.Call.Type","Incident.Date","Blurred_Longitude","Blurred_Latitude","broad_category"
2023000226729,"NO POLICE ACTION POSSIBLE OR NECESSARY","911",2,"LEWD -  (EXPOSING, FLASHING)","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-08-08,-122.28158947,47.62010535,"lewd"
2023000225813,"NO POLICE ACTION POSSIBLE OR NECESSARY","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-08-07,-122.28168209,47.61881546,"suspicious"
2023000222395,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",1,"OBS WEAPN-IP/JO-GUN,DEADLY WPN (NO THRT/ASLT/DIST)","DISTURBANCE - OTHER",2023-08-04,-122.28158947,47.62010535,"violence"
2023000219911,"CITATION ISSUED (CRIMINAL OR NON-CRIMINAL)","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2023-08-02,-122.28224071,47.62083461,"traffic"
2023000217812,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",5,"TRU - THEFT","THEFT - CAR PROWL",2023-07-31,-122.2816141,47.6176553,"theft"
2023000212640,"ASSISTANCE RENDERED","ONVIEW",7,"SUSPICIOUS STOP - OFFICER INITIATED ONVIEW","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-07-27,-122.28158947,47.62010535,"suspicious"
2023000211128,"REPORT WRITTEN (NO ARREST)","911",1,"ASLT - CRITICAL (NO SHOOTINGS)","ASSAULTS, OTHER",2023-07-25,-122.28158947,47.62010535,"violence"
2023000206211,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","AUTOMOBILES - AUTO THEFT",2023-07-21,-122.28500553,47.62054,"theft"
2023000204266,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",5,"TRU - DISTURBANCE","ASSAULTS, OTHER",2023-07-19,-122.28304867,47.62195175,"disturbance"
2023000204392,"ASSISTANCE RENDERED","911",1,"WEAPN - GUN,DEADLY WPN (NO THRTS/ASLT/DIST)","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-07-19,-122.28158947,47.62010535,"violence"
2023000203457,"NO POLICE ACTION POSSIBLE OR NECESSARY","911",2,"ASLT - WITH OR W/O WPNS (NO SHOOTINGS)","ASSAULTS, OTHER",2023-07-18,-122.28158947,47.62010535,"violence"
2023000202298,"REPORT WRITTEN (NO ARREST)","911",5,"TRU - THEFT","THEFT - CAR PROWL",2023-07-17,-122.28541432,47.61796272,"theft"
2023000185325,"REPORT WRITTEN (NO ARREST)","911",1,"OBS - ANIMAL - IP/JO - BITE","ANIMAL COMPLAINT - NOISE,STRAY,BITE",2023-07-02,-122.28158947,47.62010535,"violence"
2023000184366,"ORAL WARNING GIVEN","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2023-07-01,-122.28158947,47.62010535,"traffic"
2023000184092,"REPORT WRITTEN (NO ARREST)","911",1,"OBS - DOA - CASUALTY, DEAD BODY","CASUALTY NON-TRAF NON-CRIM - DRUG RELATED (OD)",2023-07-01,-122.2826444,47.61703071,"drug"
2023000173269,"NO POLICE ACTION POSSIBLE OR NECESSARY","911",2,"LEWD -  (EXPOSING, FLASHING)","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-06-21,-122.28158947,47.62010535,"lewd"
2023000172793,"FALSE COMPLAINT/UNFOUNDED","911",2,"ALARM - DURESS/PANIC,TAXI/CAR/PRSN - NOT DV","ALARM-VEHICLE ALARMS",2023-06-21,-122.2826444,47.61703071,"theft"
2023000158141,"ORAL WARNING GIVEN","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2023-06-07,-122.28158947,47.62010535,"traffic"
2023000157302,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"HAZ - POTENTIAL THRT TO PHYS SAFETY","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-06-06,-122.28158947,47.62010535,"suspicious"
2023000155707,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",1,"THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING)","DISTURBANCE - OTHER",2023-06-05,-122.28158947,47.62010535,"disturbance"
2023000153973,"CITATION ISSUED (CRIMINAL OR NON-CRIMINAL)","TELEPHONE OTHER, NOT 911",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2023-06-03,-122.28168542,47.62024854,"traffic"
2023000149352,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"BURN - RECKLESS BURNING","DISTURBANCE - OTHER",2023-05-30,-122.28158947,47.62010535,"disturbance"
2023000141954,"ASSISTANCE RENDERED","911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","DISTURBANCE - OTHER",2023-05-23,-122.28433848,47.62343866,"theft"
2023000138464,"REPORT WRITTEN (NO ARREST)","911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","AUTOMOBILES - AUTO THEFT",2023-05-20,-122.2826444,47.61703071,"theft"
2023000131733,"CITATION ISSUED (CRIMINAL OR NON-CRIMINAL)","911",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2023-05-14,-122.28158947,47.62010535,"traffic"
2023000128789,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",1,"OBS - FIGHT - IP - PHYSICAL (NO WEAPONS)","DISTURBANCE - OTHER",2023-05-11,-122.28158947,47.62010535,"violence"
2023000117957,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2023-05-01,-122.28136707,47.6176578,"traffic"
2023000115328,"ASSISTANCE RENDERED","911",1,"OBS - FIGHT - IP - PHYSICAL (NO WEAPONS)","DISTURBANCE - FIGHT",2023-04-28,-122.28158947,47.62010535,"violence"
2023000113712,"ASSISTANCE RENDERED","TEXT MESSAGE",3,"DISTURBANCE","DISTURBANCE - OTHER",2023-04-27,-122.28158947,47.62010535,"disturbance"
2023000101045,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-04-14,-122.28158947,47.62010535,"suspicious"
2023000099063,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-04-12,-122.28172881,47.61705184,"suspicious"
2023000097578,"NO POLICE ACTION POSSIBLE OR NECESSARY","911",2,"DISTURBANCE","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-04-11,-122.28307238,47.62124413,"disturbance"
2023000087084,"ORAL WARNING GIVEN","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2023-03-31,-122.28523476,47.61706654,"traffic"
2023000074589,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"LEWD -  (EXPOSING, FLASHING)","DISTURBANCE - OTHER",2023-03-18,-122.28158947,47.62010535,"lewd"
2023000060494,"ASSISTANCE RENDERED","911",2,"TRAFFIC - BLOCKING ROADWAY","TRAFFIC - BLOCKING TRAFFIC",2023-03-04,-122.2855141,47.62251474,"traffic"
2023000057792,"INCIDENT LOCATED, PUBLIC ORDER RESTORED","911",2,"LEWD -  (EXPOSING, FLASHING)","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT",2023-03-01,-122.28158947,47.62010535,"lewd"
2023000050231,"ASSISTANCE RENDERED","911",2,"BURN - RECKLESS BURNING","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2023-02-21,-122.28307238,47.62124413,"disturbance"
2023000026652,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"NUISANCE","PROWLER - TRESPASS",2023-01-28,-122.28540068,47.61831384,"disturbance"
2023000000136,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"DISTURBANCE","DISTURBANCE - OTHER",2023-01-01,-122.28428586,47.61857952,"disturbance"
2022000349349,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"OBS - NOISE - DISTURBANCE (PARTY, ETC)","DISTURBANCE - OTHER",2023-01-01,-122.28500553,47.62054,"disturbance"
2022000344829,"REPORT WRITTEN (NO ARREST)","911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","AUTOMOBILES - AUTO THEFT",2022-12-27,-122.28500553,47.62054,"theft"
2022000341875,"PRIORITY CALL HANDLING","911",2,"TRAFFIC - BLOCKING ROADWAY","TRAFFIC - BLOCKING TRAFFIC",2022-12-23,-122.28321871,47.61760896,"traffic"
2022000339320,"REPORT WRITTEN (NO ARREST)","911",1,"OVERDOSE","CRISIS COMPLAINT - GENERAL",2022-12-20,-122.28158947,47.62010535,"drug"
2022000326985,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"DISTURBANCE","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT",2022-12-07,-122.28158947,47.62010535,"disturbance"
2022000287968,"ASSISTANCE RENDERED","ONVIEW",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-10-26,-122.28158947,47.62010535,"suspicious"
2022000275686,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"TRESPASS","PROWLER - TRESPASS",2022-10-13,-122.28367229,47.62046988,"suspicious"
2022000271262,"REPORT WRITTEN (NO ARREST)","911",2,"PERSON IN BEHAVIORAL/EMOTIONAL CRISIS","CRISIS COMPLAINT - GENERAL",2022-10-09,-122.28158947,47.62010535,"disturbance"
2022000269372,"REPORT WRITTEN (NO ARREST)","ONVIEW",3,"PROPERTY - DAMAGE","PROPERTY DEST (DAMG)",2022-10-07,-122.28158947,47.62010535,"prop.dmg"
2022000266177,"RESPONDING UNIT(S) CANCELLED BY RADIO","911",1,"BURN - RECKLESS BURNING","ASSIST OTHER AGENCY - CITY AGENCY",2022-10-04,-122.2811368,47.61705036,"disturbance"
2022000264421,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",1,"SHOTS HEARD - IN PROGRESS","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-10-03,-122.28500553,47.62054,"violence"
2022000260135,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",4,"NOISE - GENERAL","DISTURBANCE - NOISE",2022-09-28,-122.28158947,47.62010535,"disturbance"
2022000244952,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"LEWD -  (EXPOSING, FLASHING)","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT",2022-09-13,-122.28158947,47.62010535,"lewd"
2022000230542,"ASSISTANCE RENDERED","ONVIEW",3,"DISTURBANCE","DISTURBANCE - OTHER",2022-08-30,-122.28158947,47.62010535,"disturbance"
2022000223576,"ASSISTANCE RENDERED","911",1,"THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING)","DISTURBANCE - OTHER",2022-08-23,-122.28158947,47.62010535,"disturbance"
2022000222738,"CITATION ISSUED (CRIMINAL OR NON-CRIMINAL)","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2022-08-22,-122.28158947,47.62010535,"traffic"
2022000222578,"CITATION ISSUED (CRIMINAL OR NON-CRIMINAL)","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2022-08-22,-122.28158947,47.62010535,"traffic"
2022000221707,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",4,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2022-08-21,-122.28158947,47.62010535,"traffic"
2022000220571,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"LEWD -  (EXPOSING, FLASHING)","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT",2022-08-20,-122.28158947,47.62010535,"lewd"
2022000220041,"ASSISTANCE RENDERED","911",1,"ASLT - CRITICAL (NO SHOOTINGS)","ASSIST PUBLIC - OTHER (NON-SPECIFIED)",2022-08-19,-122.28500553,47.62054,"violence"
2022000217149,"ASSISTANCE RENDERED","911",2,"TRAFFIC - BLOCKING ROADWAY","ASSIST PUBLIC - OTHER (NON-SPECIFIED)",2022-08-17,-122.2816141,47.6176553,"traffic"
2022000211372,"CITATION ISSUED (CRIMINAL OR NON-CRIMINAL)","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2022-08-11,-122.28136707,47.6176578,"traffic"
2022000206309,"CITATION ISSUED (CRIMINAL OR NON-CRIMINAL)","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2022-08-06,-122.28224071,47.62083461,"traffic"
2022000205149,"CITATION ISSUED (CRIMINAL OR NON-CRIMINAL)","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2022-08-05,-122.28158947,47.62010535,"traffic"
2022000204643,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"OBS - NOISE - DISTURBANCE (PARTY, ETC)","DISTURBANCE - OTHER",2022-08-05,-122.28158947,47.62010535,"disturbance"
2022000198774,"CITATION ISSUED (CRIMINAL OR NON-CRIMINAL)","ONVIEW",3,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2022-07-30,-122.28158947,47.62010535,"traffic"
2022000194404,"ASSISTANCE RENDERED","ONVIEW",7,"SUSPICIOUS STOP - OFFICER INITIATED ONVIEW","ASSIST PUBLIC - 911 HANG UP, OPEN LINE",2022-07-26,-122.28433848,47.62343866,"suspicious"
2022000194328,"ASSISTANCE RENDERED","911",2,"TRAFFIC - BLOCKING ROADWAY","TRAFFIC - BLOCKING TRAFFIC",2022-07-26,-122.2855141,47.62251474,"traffic"
2022000190635,"REPORT WRITTEN (NO ARREST)","911",2,"THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING)","ASSAULTS - HARASSMENT, THREATS",2022-07-22,-122.28522584,47.61914976,"disturbance"
2022000172026,"PRIORITY CALL HANDLING","911",4,"FIREWORKS (NO HAZARD)","MISCHIEF OR NUISANCE - GENERAL",2022-07-05,-122.28500553,47.62054,"disturbance"
2022000168557,"ASSISTANCE RENDERED","911",1,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-07-01,-122.28158947,47.62010535,"suspicious"
2022000167455,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",4,"PARKING VIOLATION (EXCEPT ABANDONED CAR)","TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR)",2022-06-30,-122.28158947,47.62010535,"traffic"
2022000166372,"ASSISTANCE RENDERED","911",2,"SEX IN PUBLIC PLACE (INCL MASTURBATION)","ASSIST PUBLIC - OTHER (NON-SPECIFIED)",2022-06-29,-122.28158947,47.62010535,"lewd"
2022000158625,"REPORT WRITTEN (NO ARREST)","911",2,"THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING)","PROPERTY DEST (DAMG)",2022-06-21,-122.28158947,47.62010535,"disturbance"
2022000154561,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","AUTOMOBILES - AUTO THEFT",2022-06-17,-122.28322244,47.61703225,"theft"
2022000144836,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",2,"LEWD -  (EXPOSING, FLASHING)","DISTURBANCE - OTHER",2022-06-07,-122.28158947,47.62010535,"lewd"
2022000141154,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",4,"NOISE - GENERAL","DISTURBANCE - OTHER",2022-06-03,-122.28428586,47.61857952,"disturbance"
2022000130323,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","AUTOMOBILES - AUTO THEFT",2022-05-23,-122.28389289,47.61761164,"theft"
2022000123281,"NO POLICE ACTION POSSIBLE OR NECESSARY","911",2,"LEWD -  (EXPOSING, FLASHING)","DISTURBANCE - OTHER",2022-05-16,-122.28158947,47.62010535,"lewd"
2022000121427,"REPORT WRITTEN (NO ARREST)","911",2,"DISTURBANCE","THEFT - ALL OTHER",2022-05-14,-122.28367229,47.62046988,"disturbance"
2022000102427,"NO POLICE ACTION POSSIBLE OR NECESSARY","TELEPHONE OTHER, NOT 911",2,"LEWD -  (EXPOSING, FLASHING)","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-04-24,-122.28158947,47.62010535,"lewd"
2022000100907,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",2,"LEWD -  (EXPOSING, FLASHING)","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT",2022-04-22,-122.28158947,47.62010535,"lewd"
2022000098555,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",2,"SEX IN PUBLIC PLACE (INCL MASTURBATION)","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT",2022-04-20,-122.28158947,47.62010535,"lewd"
2022000096141,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","TELEPHONE OTHER, NOT 911",2,"SEX IN PUBLIC PLACE (INCL MASTURBATION)","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-04-17,-122.28158947,47.62010535,"lewd"
2022000076129,"ASSISTANCE RENDERED","911",2,"LEWD -  (EXPOSING, FLASHING)","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT",2022-03-27,-122.28158947,47.62010535,"lewd"
2022000070647,"UNABLE TO LOCATE INCIDENT OR COMPLAINANT","911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-03-21,-122.28307238,47.62124413,"suspicious"
2022000048498,"ASSISTANCE RENDERED","911",2,"SEX IN PUBLIC PLACE (INCL MASTURBATION)","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-02-25,-122.28158947,47.62010535,"lewd"
2022000037475,"REPORT WRITTEN (NO ARREST)","911",2,"THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING)","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-02-13,-122.28322244,47.61703225,"disturbance"
2022000036926,"ASSISTANCE RENDERED","911",2,"LEWD -  (EXPOSING, FLASHING)","SEX OFFENSES (NON-RAPE) - LEWD CONDUCT",2022-02-12,-122.28158947,47.62010535,"lewd"
2022000018563,"ASSISTANCE RENDERED","TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT","SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON",2022-01-23,-122.28458553,47.61703719,"suspicious"
2022000016905,"REPORT WRITTEN (NO ARREST)","TELEPHONE OTHER, NOT 911",3,"AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY","AUTOMOBILES - AUTO THEFT",2022-01-21,-122.28322244,47.61703225,"theft"
